"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00200","샤방샤방","음식점","ST001","충청남도 아산시 둔포면 둔포면로5번길 4-9","36.928097","127.036792"
"F00201","한잔콜","음식점","ST001","충청남도 아산시 둔포면 둔포면로5번길 4-9","36.928097","127.036792"
"F00202","명성다방","카페","ST001","충청남도 아산시 둔포면 둔포면로5번길 4-9","36.928097","127.036792"
"F00203","청해진","음식점","ST001","충청남도 아산시 둔포면 둔포면로 4","36.927367","127.036646"
"F00204","썬","음식점","ST001","충청남도 아산시 둔포면 둔포면로 6-1","36.927493","127.036792"
"F00205","한잔의술","음식점","ST001","충청남도 아산시 둔포면 둔포면로 6-1","36.927493","127.036792"
"F00206","궁노래홀","음식점","ST001","충청남도 아산시 둔포면 둔포면로 8","36.927592","127.036859"
"F00207","로마노래","음식점","ST001","충청남도 아산시 둔포면 둔포면로 8","36.927592","127.036859"
"F00208","스시베이커리","음식점","ST001","충청남도 아산시 둔포면 둔포면로 13","36.928088","127.036972"
"F00209","낙원떡집","음식점","ST001","충청남도 아산시 둔포면 둔포면로17번길 2","36.928574","127.037084"
"F00210","팡팡노래나라","음식점","ST001","충청남도 아산시 둔포면 둔포면로 10-1","36.927799","127.036960"
"F00211","프린스","음식점","ST001","충청남도 아산시 둔포면 충무로 1802","36.930566","127.037680"
"F00212","밥이무리","음식점","ST001","충청남도 아산시 둔포면 둔포로 23","36.927430","127.036960"
"F00213","맛나식당","음식점","ST001","충청남도 아산시 둔포면 둔포면로 12","36.927835","127.037061"
"F00214","유명식당","음식점","ST001","충청남도 아산시 둔포면 둔포면로25번길 20-22","36.930394","127.037691"
"F00215","달빛","음식점","ST001","충청남도 아산시 둔포면 둔포면로 19-1","36.928601","127.037275"
"F00216","허니노래클럽","음식점","ST001","충청남도 아산시 둔포면 둔포면로 19-1","36.928601","127.037275"
"F00217","루비다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 19-1","36.928601","127.037275"
"F00218","테크노노래홀","음식점","ST001","충청남도 아산시 둔포면 둔포면로 12-2","36.927881","127.037151"
"F00219","타로와커피","카페","ST001","충청남도 아산시 둔포면 둔포면로 12-2","36.927881","127.037151"
"F00220","수노래클럽","음식점","ST001","충청남도 아산시 둔포면 둔포면로 8-1","36.927664","127.037129"
"F00221","둔포어울림사회적협동조합","카페","ST001","충청남도 아산시 둔포면 둔포면로 33","36.929746","127.037646"
"F00222","스플래쉬베이커리","음식점","ST001","충청남도 아산시 둔포면 둔포면로 16-1","36.928277","127.037320"
"F00223","보리수칼국수","음식점","ST001","충청남도 아산시 둔포면 둔포면로 23","36.928818","127.037443"
"F00224","비상구7080라이브","음식점","ST001","충청남도 아산시 둔포면 둔포면로 25","36.929016","127.037500"
"F00225","사또치킨","음식점","ST001","충청남도 아산시 둔포면 둔포면로 25","36.929016","127.037500"
"F00226","아담다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 25","36.929016","127.037500"
"F00227","핫타임","음식점","ST001","충청남도 아산시 둔포면 둔포면로25번길 20-30","36.930421","127.037893"
"F00228","둔포면로18","음식점","ST001","충청남도 아산시 둔포면 둔포면로 18","36.928322","127.037398"
"F00229","오로라카페","음식점","ST001","충청남도 아산시 둔포면 둔포면로 18-1","36.928376","127.037421"
"F00230","호식이두마리치킨","음식점","ST001","충청남도 아산시 둔포면 둔포면로 18-1","36.928376","127.037421"
"F00231","구구왕","음식점","ST001","충청남도 아산시 둔포면 둔포면로 8-3","36.927610","127.037263"
